document_id,filename,title,version,effective_date,page_count,file_size_bytes,extracted_pages,extraction_warning
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,LSEG Quantitative Analytics | Database Schema for Axioma Data | Version 1.1.6,1.1.6,2022-11-07,25,541853,25,
qa_database_schema_barra_v1_6_3_2022_08_31,QA Database Schema - Barra v1.6.3 (2022-08-31).pdf,LSEG Quantitative Analytics | Database Schema for Barra | Version 1. 6.3,1.,2022-08-31,31,697168,31,
qa_database_schema_compustat_global_v1_1_4_2022_02_21,QA Database Schema - Compustat Global v1.1.4 (2022-02-21).pdf,LSEG Quantitative Analytics | Database Schema for Compustat Global Data | Version 1. 1.4,1.,2022-02-21,42,837944,42,
qa_database_schema_compustat_na_v1_1_5_2022_02_21,QA Database Schema - Compustat NA v1.1.5 (2022-02-21).pdf,LSEG Quantitative Analytics | Database Schema for Compustat North America | Version 1. 1.5,1.,2022-02-21,189,3419922,189,
qa_database_schema_core_tables_v1_1_2024_02_28,QA Database Schema - Core Tables v1.1 (2024-02-28).pdf,LSEG Quantitative Analytics | Database Schema for Core Tables | Version 1. 1,1.,2024-02-28,34,689360,34,
qa_database_schema_crb_v1_0_6_2022_02_18,QA Database Schema - CRB v1.0.6 (2022-02-18).pdf,LSEG Quantitative Analytics | Database Schema for Commodity Research | Bureau (CRB),1.,2022-02-18,11,286863,11,
qa_database_schema_credit_default_swap_v1_1_2023_02_09,QA Database Schema - Credit Default Swap v1.1 (2023-02-09).pdf,LSEG Quantitative Analytics | Database Schema for Credit Default Swap | Version 1. 1,1.,2023-02-09,8,251081,8,
qa_database_schema_data_explorers_v1_0_4_2022_02_22,QA Database Schema - Data Explorers v1.0.4 (2022-02-22).pdf,LSEG Quantitative Analytics | Database Schema for Data Explorers | Version 1. 0.4,1.,2022-02-22,14,290193,14,
qa_database_schema_datastream_v1_3_2_2025_04_14,QA Database Schema - Datastream v1.3.2 (2025-04-14).pdf,LSEG Quantitative Analytics | Database Schema for Datastream | Version 1. 3.2,1.,2025-04-14,61,1372424,61,
qa_database_schema_deals_m_and_a_v1_0_8_2025_06_27,QA Database Schema - Deals M and A v1.0.8 (2025-06-27).pdf,LSEG Quantitative Analytics | Database Schema for Deals M&A | Version 1. 0.8,1.,2025-06-27,26,974469,26,
qa_database_schema_esg_v1_0_8_2022_04_11,QA Database Schema - ESG v1.0.8 (2022-04-11).pdf,LSEG Quantitative Analytics | Database Schema for ESG Data | Version 1. 0.8,1.,2022-04-11,18,447110,18,
qa_database_schema_esg_version_2_v1_1_2_2022_09_12,QA Database Schema - ESG Version 2 v1.1.2 (2022-09-12).pdf,LSEG Quantitative Analytics | Database Schema for ESG Data Version 2 | Version 1. 1.2,"2 
Version",2022-09-12,16,463197,16,
qa_database_schema_eu_taxonomy_v1_1_2025_07_08,QA Database Schema - EU Taxonomy v1.1 (2025-07-08).pdf,LSEG Quantitative Analytics | Database Schema for EU Taxonomy | Version 1. 1,1.,2025-07-08,28,491522,28,
qa_database_schema_fixed_income_ejv_v1_0_8_2023_03_30,QA Database Schema - Fixed Income EJV v1.0.8 (2023-03-30).pdf,LSEG Quantitative Analytics | Database Schema for Fixed Income EJV Data | Version 1. 0.8,1.,2023-03-30,72,1374094,72,
qa_database_schema_ftse_green_revenues_v1_1_2025_07_08,QA Database Schema - FTSE Green Revenues v1.1 (2025-07-08).pdf,LSEG Quantitative Analytics | Database Schema for FTSE Green Revenues | Version 1. 1,1.,2025-07-08,9,261228,9,
qa_database_schema_hanweck_options_data_v1_0_4_2022_04_13,QA Database Schema - Hanweck Options Data v1.0.4 (2022-04-13).pdf,LSEG Quantitative Analytics | Database Schema for Hanweck Options Data | Version 1. 0.4,1.,2022-04-13,17,429205,17,
qa_database_schema_ibes_estimates_version_2_v1_8_6_2025_05_29,QA Database Schema - IBES Estimates Version 2 - v1.8.6 (2025-05-29).pdf,LSEG Quantitative Analytics | Database Schema for I/B/E/S Estimates Version2 | Version 1.8.6,"1.8.6 
 
CORPORATE",2025-05-29,122,3255897,122,
qa_database_schema_ibes_pit_2025_07_17,QA Database Schema - IBES PIT (2025-07-17).pdf,LSEG Quantitative Analytics | Database Schema for I/B/E/S Point in Time | Version 1. 1,1.,2025-07-17,15,412168,15,
qa_database_schema_ibes_v1_1_6,QA Database Schema - IBES_v1.1.6.pdf,LSEG Quantitative Analytics | Database Schema for I/B/E/S | V1.1.6 (April 2023),,,140,2305254,140,
qa_database_schema_idc_pricing_global_v1_0_7_2022_05_11,QA Database Schema - IDC Pricing (Global) v1.0.7_(2022-05-11).pdf,LSEG Quantitative Analytics | Database Schema for IDC Equity Pricing (Global) | Version 1. 0.7,1.,2022-05-11,31,696288,31,
qa_database_schema_idc_pricing_na_v1_0_4_2024_01_15,QA Database Schema - IDC Pricing (NA) v1.0.4 (2024-01-15).pdf,LSEG Quantitative Analytics | Database Schema for IDC Equity Pricing (North | American),1.,2024-01-15,38,774593,38,
qa_database_schema_index_data_v1_0_5_2022_04_13,QA Database Schema - Index Data v1.0.5 (2022-04-13).pdf,LSEG Quantitative Analytics | Database Schema for Index Data | Version 1. 0.5,1.,2022-04-13,48,1029718,48,
qa_database_schema_lseg_climate_v1_1_2025_07_08,QA Database Schema - LSEG Climate v1.1 (2025-07-08).pdf,LSEG Quantitative Analytics | Database Schema for LSEG Climate Data | Version 1. 1,1.,2025-07-08,31,546778,31,
qa_database_schema_lseg_esg_v1_1_2025_07_28,QA Database Schema - LSEG ESG v1.1 (2025-07-28).pdf,LSEG Quantitative Analytics | Database Schema for LSEG ESG Data | Version 1. 1,1.,2025-07-28,15,412832,15,
qa_database_schema_lseg_financials_v1_2_6_2024_02_20,QA Database Schema - LSEG Financials v1.2.6 (2024-02-20).pdf,LSEG Quantitative Analytics | Database Schema for LSEG Financials | Version 1.2.6,1.2.6,2024-02-20,108,1630163,108,
qa_database_schema_lseg_indices_v1_0_3_2022_05_10,QA Database Schema - LSEG Indices v1.0.3 (2022-05-10).pdf,LSEG Quantitative Analytics | Database Schema for LSEG Indices | Version 1. 0.3,1.,2022-05-10,14,368019,14,
qa_database_schema_marketpsych_analytics_v1_0_4_2025_12_09,QA Database Schema - MarketPsych Analytics v1.0.4 (2025-12-09).pdf,LSEG Quantitative Analytics | Database Schema for MarketPsych Analytics | Version 1. 0.4,1.,2025-12-09,27,843408,27,
qa_database_schema_msci_v1_0_5_2023_05_05,QA Database Schema - MSCI v1.0.5 (2023-05-05).pdf,LSEG Quantitative Analytics | Database Schema for MSCI | Version 1. 0.5,1.,2023-05-05,43,779848,43,
qa_database_schema_northfield_risk_factors_v1_0_3_2022_05_11,QA Database Schema - Northfield Risk Factors v1.0.3 (2022-05-11).pdf,LSEG Quantitative Analytics | Database Schema for Northfield Risk Factors | Version 1. 0.3,1.,2022-05-11,15,398215,15,
qa_database_schema_ownership_and_global_insider_v1_0_3_2022_05_11,QA Database Schema - Ownership and Global Insider v1.0.3 (2022-05-11).pdf,LSEG Quantitative Analytics | Database Schema for Ownership and Global | Insider Data,1.,2022-05-11,38,840524,38,
qa_database_schema_ownership_version_2_v1_2_5_2025_07_08,QA Database Schema - Ownership Version 2 v1.2.5 (2025-07-08).pdf,LSEG Quantitative Analytics | Database Schema for Ownership Version 2 | Version 1. 2.5,"2 
Version",2025-07-08,75,1397932,75,
qa_database_schema_rdc_v1_4_6,QA Database Schema - RDC_v1.4.6.pdf,LSEG Quantitative Analytics | Database Schema for Reference Data Convergence (RDC) Data | Version 1.4.6 (July 2023),1.4.6,,31,565984,31,
qa_database_schema_s_p_gics_v1_0_4_2022_05_02,QA Database Schema - S-P GICS v1.0.4 (2022-05-02).pdf,LSEG Quantitative Analytics | Database Schema for S&P GICS | Version 1. 0.4,1.,2022-05-02,15,361523,15,
qa_database_schema_short_interest_data_v1_0_5_2022_05_02,QA Database Schema - Short Interest Data v1.0.5 (2022-05-02).pdf,LSEG Quantitative Analytics | Database Schema for Short Interest Data | Version 1. 0.5,1.,2022-05-02,9,283506,9,
qa_database_schema_starmine_analytics_v1_2_1_2022_05_02,QA Database Schema - StarMine Analytics v1.2.1 (2022-05-02).pdf,REFINITIV | QUANTITATIVE ANALYTICS | DATABASE SCHEMA FOR STARMINE,"1.2.1 
ISSUED",2022-05-02,26,391905,26,
