document_id,filename,table_name,field_name,data_type,nullable,description,page
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCode,Type_,int,N,Type_ is a numeric code for a type of data.,8
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCode,Code,int,N,"Code is a coded value for an element of Type_. When Type_ = 0, Code is the numeric code for each Type_ other than 0 and Desc_ is a description of each Type_.",8
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCode,Desc_,varchar(100),Y,Desc_ is a plain-language description of the element defined by Type_ and Code.,8
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCusipChg,SecID,int,N,SecID is the unique identifier derived by Quantitative Data Warehouse (QDW) against every unique Axioma ID that is provided by the vendor.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCusipChg,StartDate,datetime,N,StartDate is the earliest date associated with the value. This date is system- generated.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCusipChg,Cusip8,varchar(8),Y,Cusip8 is the CUSIP without check digit.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCusipChg,CChkDgt,char(1),Y,CChkDgt is the CUSIP check digit.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCusipChg,EndDate,datetime,Y,EndDate is the date on which a change is made to the existing CUSIP.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCusipChg,LicFlag,tinyint,Y,LicFlag is a license flag based on country/region. This field cross-references with AxCode.Code where Type_ = 2.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxDesc,Type_,int,N,Type_ is a numeric code for a type of data.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxDesc,Code,varchar(50),N,"Code is a coded value for an element of Type_. When Type_ = 0, Code is the numeric code for each Type_ other than 0 and Desc_ is a description of each Type_.",9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxDesc,Desc_,varchar(100),Y,Desc_ is a plain-language description of the element defined by Type_ and Code.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFactHolding,ModelID,tinyint,N,ModelID is the unique integer that identifies each model. This field cross- references with AxCode.Code where Type_ = 1.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFactHolding,SecID,int,N,SecID is a unique identifier derived by Quantitative Data Warehouse (QDW) against every unique Axioma ID that is provided by the vendor.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFactHolding,FactID,smallint,N,FactID is a factor code defined in the AxFactor table.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFactHolding,Date_,datetime,N,Date_ is the file date.,9
