document_id,filename,table_name,title_or_description,update_cycle,adjusted,indexes_raw,first_page,last_page
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFactor,,,,,8,8
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCode,Numeric Codes | This table contains descriptions of Axioma numeric codes.,Daily,N/A,"pkey_AxCode (Clustered) Type_, Code",8,8
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxCusipChg,CUSIP Values | This table contains CUSIP values for each Axioma ID when provided in the feed.,Daily,N/A,"pkey_AxCusipChg (Clustered) SecID, StartDate LSEG Quantitative Analytics Database Schema for Axioma 9",8,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxDesc,Character Codes | This table contains descriptions of Axioma character codes.,Daily,N/A,"pkey_AxDesc (Clustered) Type_, Code",9,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFactHolding,Factor-Related Information | This table contains factor-related information.,Daily,N/A,"pkey_AxFactHolding (Clustered) Date_, ModelID, SecID, FactID",9,10
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFactor,"Input File Factors | This table contains the various factors in the input file, including Style, Industry, Country, Currency, Statistical,",Daily,N/A,pkey_AxFactor (Clustered) FactID,10,10
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFxRate,Foreign Exchange Details | This table contains the ISO currency code and its exchange rate and risk-free rate details.,Daily,N/A,"pkey_AxFxRate (Clustered) Date_, CurrCode",10,10
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxIndustryMap,Industry Hierarchy | This table contains information about the industry hierarchy.,Daily,N/A,"pkey_AxIndustryMap (Clustered) SectorID, IndGrpID, IndID",10,11
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxIsinChg,Ex-North American ISIN Values | This table contains ex-North American ISIN values for each Axioma ID provided in the feed. ISIN values that are,Daily,N/A,"pkey_AxIsinChg (Clustered) SecID, StartDate",11,11
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxIsinChgC,North American ISIN Values | This table contains North American ISIN values for each Axioma ID provided in the feed. These are derived from,Daily,N/A,"pkey_AxIsinChgC (Clustered) SecID, StartDate",11,11
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxItem,Data Item Information | This table contains the item code assigned to the individual identifiers.,Daily,N/A,pkey_AxItem (Clustered) Item,11,12
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxSecInfo_V4,"Security-Level Details | This table contains the security-level information provided by Axioma. The identifiers like CUSIP, SEDOL, and",Daily,N/A,pkey_AxSecInfo (Clustered) SecID,12,12
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxSecAttr_V4,Security Market-Level Attributes | This table contains the market-level attributes associated with a particular security.,Daily,N/A,"pkey_AxSecAttr (Clustered) Date_, SecID",12,13
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxSecRskData_V4,Security Risk Data | This table contains the risk related-details associated with a particular security in a particular model.,Daily,N/A,"pkey_AxSecRskData (Clustered) Date_, ModelID, SecID",13,13
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFactReturns_V4,Factor Return Values | This table contains the return values for each of the factors.,Daily,N/A,"pkey_AxFactReturns (Clustered) Date_, ModelID, FactID",13,14
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxFactCovar_V4,Covariance Values | This table contains covariance values for pairs of factors in each model.,Daily,N/A,"pkey_AxFactCovar (Clustered) Date_, ModelID, FactID1, FactID2",14,14
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxSecCovar_V4,Covariance Values | This table contains the covariance values for a pair of securities in each model.,Daily,N/A,"pkey_AxSecCovar (Clustered) Date_, ModelID, SecID1, SecID2",14,14
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxSecInfoChg,Historical Security-Level Details | This table contains the historical details of all the identifiers.,Daily,N/A,"pkey_AxSecInfoChg (Clustered) SecID, Item, StartDate",14,15
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxSecModelMap,Security and Model Identification | This table contains the SecID and the corresponding ModelID.,Daily,N/A,"pkey_AxSecModelMap (Clustered) SecID, ModelID",15,15
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxSedolChg,SEDOL Values | This table contains SEDOL values for each Axioma ID when provided in the feed.,Daily,N/A,"pkey_AxSedolChg (Clustered) SecID, StartDate",15,16
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxUS4MHStatExpDly,Daily Exposure Details for U.S. – Medium | This table contains daily exposure details for U.S. – Medium Horizon statistical factors.,Daily Adjusted: N/A,,"pkey_AxUS4MHStatExpDly (clustered) SecID, Date_",16,17
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxUS4MHStyleExp,"Exposure Details for U.S. – Medium Horizon | This table contains exposure details for U.S. – Medium Horizon fundamental factors, which do not change on a",As needed (checked daily; updated when there is a change),N/A,"pkey_AxUS4MHStyleExp (clustered) SecID, StartDate",17,17
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxUS4MHStyleExpDly,Daily Exposure Details for U.S. – Medium | This table contains daily exposure details for U.S. – Medium Horizon style factors. For details about Axioma's,Daily,N/A,"pkey_AxUS4MHStyleExpDly (clustered) SecID, Date_",17,18
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxUS4SHStatExpDly,Daily Exposure Details for U.S. – Short | This table contains daily exposure details for U.S. – Short Horizon statistical factors.,Daily,N/A,"pkey_AxUS4MHStatExpDly (clustered) SecID, Date_",18,18
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxUS4SHStyleExp,"Exposure Details for U.S. – Short Horizon | This table contains exposure details for U.S. – Short Horizon fundamental factors, which do not change on a daily",As needed (checked daily; updated when there is a change),N/A,"pkey_AxUS4SHStyleExp (clustered) SecID, StartDate",18,19
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxUS4SHStyleExpDly,Daily Exposure Details for U.S. – Medium | This table contains daily exposure details for U.S. – Medium Horizon style factors. For details about Axioma's,Daily,N/A,"pkey_AxUS4SHStyleExpDly (clustered) SecID, Date_",19,19
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxWW4MHStatExp,"Exposure Details for World Wide – Medium | This table contains exposure details for World Wide – Medium Horizon statistical factors, which do not change on",As needed (checked daily; updated when there is a change) Adjusted: N/A,,"pkey_AxWW4MHStatExp (clustered) SecID, StartDate",19,20
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxWW4MHStatExpDly,Daily Exposure Details for World Wide – | This table contains daily exposure details for World Wide – Medium Horizon statistical factors.,Daily,N/A,"pkey_AxWW4MHStatExpDly (clustered) SecID, Date_",20,20
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,AxWW4MHStyleExp,"Exposure Details for World Wide – Medium | This table contains exposure details for World Wide – Medium Horizon fundamental factors, which do not change",As needed (checked daily; updated when there is a change),N/A,"pkey_AxWW4MHStyleExp (clustered) SecID, StartDate",20,21
