ibes_ticker,ibes_region_code,measure_code,period_end_date,consensus_date,period_type_code,currency_iso,mean_value,median_value,stddev_value,high_value,low_value,num_estimates,num_up_revisions_30d,num_down_revisions_30d,loaded_ts
AAPL,USA,EPS,2026-09-30,2026-05-30,FY1,USD,7.124000,7.150000,0.184000,7.420000,6.780000,38,12,3,2026-05-30 02:00:00
AAPL,USA,EPS,2027-09-30,2026-05-30,FY2,USD,7.852000,7.910000,0.241000,8.250000,7.420000,33,9,2,2026-05-30 02:00:00
AAPL,USA,REV,2026-09-30,2026-05-30,FY1,USD,438125000000,438500000000,4582000000,448000000000,428000000000,38,11,4,2026-05-30 02:00:00
MSFT,USA,EPS,2026-06-30,2026-05-30,FY1,USD,13.812000,13.850000,0.214000,14.150000,13.420000,42,15,2,2026-05-30 02:00:00
MSFT,USA,REV,2026-06-30,2026-05-30,FY1,USD,283412000000,283800000000,3214000000,290000000000,275000000000,42,14,3,2026-05-30 02:00:00
GOOG,USA,EPS,2026-12-31,2026-05-30,FY1,USD,8.582000,8.620000,0.184000,8.900000,8.220000,37,13,2,2026-05-30 02:00:00
META,USA,EPS,2026-12-31,2026-05-30,FY1,USD,23.450000,23.580000,0.812000,24.800000,21.900000,41,18,3,2026-05-30 02:00:00
VOD,EUR,EPS,2026-03-31,2026-05-30,FY1,GBP,0.075000,0.074000,0.008000,0.092000,0.061000,18,3,5,2026-05-30 02:00:00
BMW,EUR,EPS,2025-12-31,2026-05-30,FY1,EUR,15.842000,15.900000,0.812000,17.200000,14.250000,21,4,8,2026-05-30 02:00:00
7203,JPN,EPS,2026-03-31,2026-05-30,FY1,JPY,318.420000,320.000000,12.412000,342.000000,295.000000,24,6,4,2026-05-30 02:00:00
