curve_code,curve_date,snapshot_code,tenor_code,tenor_years,currency_iso,curve_type_code,zero_rate_pct,par_yield_pct,discount_factor,forward_rate_3m_pct,day_count_convention_code,interpolation_method_code,is_bootstrapped,vendor_received_ts,loaded_ts
USD_TSY_PAR,2024-06-28,EOD,3M,0.250000,USD,SOVEREIGN,5.380000,5.380000,0.986704,5.420000,ACT/ACT,LINEAR_ZERO,true,2024-06-28 17:30:00,2024-06-28 22:00:00
USD_TSY_PAR,2024-06-28,EOD,2Y,2.000000,USD,SOVEREIGN,4.760000,4.760000,0.910722,4.250000,ACT/ACT,LINEAR_ZERO,true,2024-06-28 17:30:00,2024-06-28 22:00:00
USD_TSY_PAR,2024-06-28,EOD,5Y,5.000000,USD,SOVEREIGN,4.330000,4.330000,0.803456,4.150000,ACT/ACT,LINEAR_ZERO,true,2024-06-28 17:30:00,2024-06-28 22:00:00
USD_TSY_PAR,2024-06-28,EOD,10Y,10.000000,USD,SOVEREIGN,4.360000,4.360000,0.649810,4.620000,ACT/ACT,LINEAR_ZERO,true,2024-06-28 17:30:00,2024-06-28 22:00:00
USD_TSY_PAR,2024-06-28,EOD,30Y,30.000000,USD,SOVEREIGN,4.510000,4.510000,0.263412,4.890000,ACT/ACT,LINEAR_ZERO,true,2024-06-28 17:30:00,2024-06-28 22:00:00
USD_SOFR_OIS,2024-06-28,EOD,3M,0.250000,USD,OIS,5.340000,5.340000,0.986803,5.230000,ACT/360,MONOTONIC_CUBIC,true,2024-06-28 17:00:00,2024-06-28 22:00:00
USD_SOFR_OIS,2024-06-28,EOD,2Y,2.000000,USD,OIS,4.600000,4.600000,0.913418,4.080000,ACT/360,MONOTONIC_CUBIC,true,2024-06-28 17:00:00,2024-06-28 22:00:00
USD_SOFR_OIS,2024-06-28,EOD,10Y,10.000000,USD,OIS,4.150000,4.150000,0.660934,4.430000,ACT/360,MONOTONIC_CUBIC,true,2024-06-28 17:00:00,2024-06-28 22:00:00
EUR_BUND,2024-06-28,EOD,2Y,2.000000,EUR,SOVEREIGN,2.840000,2.840000,0.945567,2.620000,ACT/ACT,LINEAR_ZERO,true,2024-06-28 16:30:00,2024-06-28 22:00:00
EUR_BUND,2024-06-28,EOD,10Y,10.000000,EUR,SOVEREIGN,2.500000,2.500000,0.781198,2.910000,ACT/ACT,LINEAR_ZERO,true,2024-06-28 16:30:00,2024-06-28 22:00:00
GBP_GILT,2024-06-28,EOD,10Y,10.000000,GBP,SOVEREIGN,4.180000,4.180000,0.663092,4.450000,ACT/ACT,LINEAR_ZERO,true,2024-06-28 16:30:00,2024-06-28 22:00:00
JPY_JGB,2024-06-28,EOD,10Y,10.000000,JPY,SOVEREIGN,1.060000,1.060000,0.900028,1.230000,ACT/365,LINEAR_ZERO,true,2024-06-28 06:30:00,2024-06-28 22:00:00
USD_CDX_IG_5Y,2024-06-28,EOD,5Y,5.000000,USD,CDS_SPREAD,0.510000,,,,ACT/360,FLAT,false,2024-06-28 17:00:00,2024-06-28 22:00:00
EUR_ITRAXX_MAIN_5Y,2024-06-28,EOD,5Y,5.000000,EUR,CDS_SPREAD,0.540000,,,,ACT/360,FLAT,false,2024-06-28 16:30:00,2024-06-28 22:00:00
